t,min,max,var_0
7.5,0.0717939,0.125325,interFoam
7.0,0.0718866,0.125465,interFoam
3.5,0.0729647,0.126846,interFoam
1.5,0.0732321,0.128355,interFoam
2.0,0.0731718,0.127751,interFoam
4.0,0.0728331,0.126683,interFoam
6.5,0.0720375,0.125615,interFoam
5.0,0.0724706,0.126415,interFoam
5.5,0.0723424,0.126091,interFoam
1.0,0.0732711,0.128314,interFoam
8.5,0.0716241,0.125103,interFoam
8.0,0.0717233,0.12523,interFoam
9.0,0.071525,0.124881,interFoam
3.0,0.0730287,0.127098,interFoam
4.5,0.0726794,0.126563,interFoam
2.5,0.0730982,0.127357,interFoam
6.0,0.0722114,0.125822,interFoam
0.5,0.0734689,0.128349,interFoam
1.5,0.0731711,0.12834,interIsoFoam
2.0,0.0729776,0.128072,interIsoFoam
1.0,0.0733136,0.128407,interIsoFoam
2.5,0.0727853,0.127669,interIsoFoam
0.5,0.0734087,0.128258,interIsoFoam
0.5,0.0733578,0.128395,interFlow
