t,U_x,U_y,U_z,solver,dt
2.64e-10,1.357949e-07,9.684015e-08,1.107632e-07,interIsoFoam,1.4400000000000002e-10
4.368e-10,2.199541e-07,1.56929e-07,1.83333e-07,interIsoFoam,1.7279999999999996e-10
6.4416e-10,3.190897e-07,2.268708e-07,2.715329e-07,interIsoFoam,2.0736e-10
8.92992e-10,4.366005e-07,3.104833e-07,3.766269e-07,interIsoFoam,2.4883199999999997e-10
1.19159e-09,5.77458e-07,4.100896e-07,5.028772e-07,interIsoFoam,2.9859800000000007e-10
1.54991e-09,7.458846e-07,5.292884e-07,6.54097e-07,interIsoFoam,3.5832000000000006e-10
1.97989e-09,9.477485e-07,6.720508e-07,8.355405e-07,interIsoFoam,4.299799999999998e-10
2.49587e-09,1.189664e-06,8.431372e-07,1.053119e-06,interIsoFoam,5.159800000000001e-10
3.11504e-09,1.479746e-06,1.048285e-06,1.31418e-06,interIsoFoam,6.1917e-10
3.85805e-09,1.827662e-06,1.294331e-06,1.627287e-06,interIsoFoam,7.430099999999999e-10
4.74966e-09,2.244998e-06,1.589493e-06,2.00302e-06,interIsoFoam,8.916100000000004e-10
5.81959e-09,2.745645e-06,1.943585e-06,2.453701e-06,interIsoFoam,1.0699299999999998e-09
7.10351e-09,3.346304e-06,2.368407e-06,2.994617e-06,interIsoFoam,1.2839199999999994e-09
8.64421e-09,4.066966e-06,2.878133e-06,3.643392e-06,interIsoFoam,1.5407000000000007e-09
1.04931e-08,4.931658e-06,3.489733e-06,4.422213e-06,interIsoFoam,1.8488900000000002e-09
1.27117e-08,5.969183e-06,4.223619e-06,5.356232e-06,interIsoFoam,2.2185999999999998e-09
1.5374e-08,7.214134e-06,5.10421e-06,6.477643e-06,interIsoFoam,2.662299999999999e-09
1.85688e-08,8.707973e-06,6.160892e-06,7.822432e-06,interIsoFoam,3.1948000000000022e-09
2.24026e-08,1.050051e-05,7.428839e-06,9.43714e-06,interIsoFoam,3.833799999999999e-09
2.70031e-08,1.265144e-05,8.950347e-06,1.137348e-05,interIsoFoam,4.600499999999999e-09
3.25237e-08,1.523247e-05,1.077608e-05,1.36985e-05,interIsoFoam,5.5205999999999985e-09
3.91484e-08,1.832955e-05,1.296691e-05,1.648664e-05,interIsoFoam,6.624700000000005e-09
4.70981e-08,2.204592e-05,1.55958e-05,1.98345e-05,interIsoFoam,7.949699999999999e-09
5.66377e-08,2.650531e-05,1.87504e-05,2.38492e-05,interIsoFoam,9.539599999999996e-09
6.80853e-08,3.185634e-05,2.253575e-05,2.866987e-05,interIsoFoam,1.1447599999999996e-08
8.18223e-08,3.82771e-05,2.707802e-05,3.44507e-05,interIsoFoam,1.3737000000000012e-08
9.83068e-08,4.598153e-05,3.252845e-05,4.139207e-05,interIsoFoam,1.648449999999999e-08
1.18088e-07,5.522595e-05,3.906865e-05,4.971588e-05,interIsoFoam,1.9781200000000008e-08
1.41826e-07,6.631823e-05,4.691631e-05,5.971072e-05,interIsoFoam,2.3737999999999984e-08
1.70311e-07,7.962718e-05,5.633284e-05,7.169592e-05,interIsoFoam,2.8485000000000007e-08
2.04493e-07,9.559574e-05,6.763154e-05,8.608709e-05,interIsoFoam,3.418200000000001e-08
2.45512e-07,0.0001147544,8.118855e-05,0.0001033436,interIsoFoam,4.101899999999998e-08
2.94734e-07,0.0001377403,9.74547e-05,0.000124064,interIsoFoam,4.9222000000000016e-08
3.53801e-07,0.000165316,0.0001169711,0.0001489093,interIsoFoam,5.906699999999998e-08
4.24681e-07,0.0001983973,0.0001403861,0.0001787406,interIsoFoam,7.088000000000001e-08
5.09737e-07,0.0002380799,0.0001684778,0.0002145091,interIsoFoam,8.505600000000004e-08
6.11805e-07,0.0002856788,0.0002021783,0.000257454,interIsoFoam,1.0206800000000001e-07
7.34286e-07,0.000342767,0.0002426058,0.0003089427,interIsoFoam,1.22481e-07
8.81263e-07,0.0004112305,0.0002910993,0.0003707578,interIsoFoam,1.4697699999999993e-07
1.05764e-06,0.0004933242,0.0003492641,0.0004448647,interIsoFoam,1.7637700000000012e-07
1.26928e-06,0.0005917485,0.0004190217,0.0005338257,interIsoFoam,2.1163999999999985e-07
1.52326e-06,0.0007097287,0.0005026737,0.0006404633,interIsoFoam,2.539800000000001e-07
1.82803e-06,0.0008511219,0.0006029732,0.0007684577,interIsoFoam,3.0477000000000005e-07
2.19376e-06,0.001020528,0.0007232143,0.0009218578,interIsoFoam,3.657299999999997e-07
2.63263e-06,0.001223436,0.0008673321,0.001105943,interIsoFoam,4.3887000000000017e-07
3.15927e-06,0.001466378,0.001040029,0.001326512,interIsoFoam,5.2664e-07
3.79125e-06,0.001757126,0.00124691,0.001591127,interIsoFoam,6.319799999999999e-07
4.54962e-06,0.002104895,0.001494662,0.001908069,interIsoFoam,7.583700000000002e-07
5.45966e-06,0.002520604,0.001791233,0.002288144,interIsoFoam,9.1004e-07
6.55172e-06,0.003017137,0.002146074,0.002743142,interIsoFoam,1.0920599999999998e-06
7.86218e-06,0.003609665,0.002570378,0.003288448,interIsoFoam,1.3104599999999993e-06
9.43474e-06,0.004315953,0.003077391,0.003940756,interIsoFoam,1.5725600000000014e-06
1.13218e-05,0.005156726,0.003682716,0.004721864,interIsoFoam,1.8870599999999999e-06
1.35863e-05,0.006155989,0.004404684,0.005655231,interIsoFoam,2.2645e-06
1.63037e-05,0.007341355,0.005264718,0.006771516,interIsoFoam,2.7174000000000004e-06
1.95645e-05,0.008744263,0.00628773,0.008103324,interIsoFoam,3.2607999999999976e-06
2.34776e-05,0.0104001,0.007502471,0.00969331,interIsoFoam,3.9131000000000015e-06
2.81732e-05,0.01234807,0.008941841,0.01158607,interIsoFoam,4.6955999999999996e-06
3.38079e-05,0.01463074,0.01064308,0.01383988,interIsoFoam,5.634699999999999e-06
4.05696e-05,0.01729312,0.01264776,0.01651454,interIsoFoam,6.7617e-06
4.86836e-05,0.02038111,0.01500146,0.0196873,interIsoFoam,8.114000000000004e-06
5.84203e-05,0.02393898,0.01775296,0.02343601,interIsoFoam,9.736699999999998e-06
7.01045e-05,0.02800596,0.02095297,0.02785856,interIsoFoam,1.1684199999999999e-05
8.41254e-05,0.03261131,0.02465139,0.03305142,interIsoFoam,1.40209e-05
0.00010095,0.03776849,0.02889418,0.03912975,interIsoFoam,1.68246e-05
0.00012114,0.04346779,0.03371845,0.04620337,interIsoFoam,2.0189999999999995e-05
0.000145367,0.04966844,0.039146,0.05439176,interIsoFoam,2.422700000000001e-05
0.00017444,0.05629253,0.04517563,0.06379988,interIsoFoam,2.9072999999999984e-05
0.000209327,0.06321845,0.05177397,0.07452379,interIsoFoam,3.488700000000002e-05
0.000251193,0.07028504,0.05887029,0.08662405,interIsoFoam,4.186599999999997e-05
0.000301429,0.07729611,0.0663421,0.1004903,interIsoFoam,5.0236e-05
0.000361713,0.08402703,0.07401611,0.1160729,interIsoFoam,6.028400000000002e-05
0.000434051,0.09027354,0.08166535,0.1331734,interIsoFoam,7.233800000000002e-05
0.000520857,0.09690711,0.08902397,0.15163,interIsoFoam,8.680599999999998e-05
0.000625024,0.1039316,0.09583741,0.1711562,interIsoFoam,0.00010416699999999995
0.000750024,0.1101009,0.1018332,0.1913559,interIsoFoam,0.000125
0.000900039,0.1152641,0.1068473,0.2116803,interIsoFoam,0.0001500150000000001
0.00108002,0.1193836,0.1119512,0.2314928,interIsoFoam,0.00017998099999999985
0.00129601,0.1224608,0.1230507,0.2501202,interIsoFoam,0.0002159900000000001
0.00155521,0.1263121,0.1334305,0.2669262,interIsoFoam,0.0002592
0.00186615,0.1442509,0.1425869,0.281391,interIsoFoam,0.00031094
0.00223929,0.1634992,0.1541091,0.2931824,interIsoFoam,0.0003731400000000001
0.00267175,0.1834238,0.1722759,0.3019755,interIsoFoam,0.00043245999999999996
0.00315789,0.2024967,0.1891311,0.3080128,interIsoFoam,0.0004861399999999999
0.00365325,0.2186863,0.204463,0.3116651,interIsoFoam,0.0004953599999999998
0.00411974,0.2325582,0.2188167,0.3138842,interIsoFoam,0.0004664900000000004
0.0045681,0.2448537,0.230862,0.3153798,interIsoFoam,0.0004483600000000001
0.00500345,0.2559786,0.241117,0.3161868,interIsoFoam,0.00043535000000000015
0.00542907,0.2660255,0.249923,0.3164135,interIsoFoam,0.0004256199999999998
0.00584678,0.2750844,0.2575109,0.3161552,interIsoFoam,0.00041770999999999996
0.00625823,0.2832171,0.2640695,0.3153733,interIsoFoam,0.00041144999999999984
0.0066646,0.2902161,0.2697815,0.3141492,interIsoFoam,0.00040636999999999965
0.00706667,0.2961779,0.2747764,0.3126382,interIsoFoam,0.00040207000000000003
0.00746516,0.3010387,0.2791283,0.310897,interIsoFoam,0.0003984900000000005
0.00786045,0.3049099,0.282922,0.3089617,interIsoFoam,0.00039528999999999953
0.00825322,0.307904,0.2862226,0.306777,interIsoFoam,0.0003927700000000006
0.0086435,0.3102362,0.2891001,0.3044461,interIsoFoam,0.0003902799999999998
0.00903192,0.3120039,0.2915985,0.3020068,interIsoFoam,0.00038842000000000043
0.00941851,0.3133226,0.2937644,0.2994628,interIsoFoam,0.00038658999999999916
0.00980328,0.3142911,0.2956368,0.2968639,interIsoFoam,0.00038476999999999956
0.0101865,0.3149749,0.2972416,0.2942085,interIsoFoam,0.0003832200000000001
0.0105686,0.3154809,0.2986106,0.2915,interIsoFoam,0.0003820999999999998
0.0109495,0.3158311,0.299771,0.2886394,interIsoFoam,0.0003809
0.0113295,0.315999,0.3007433,0.282898,interIsoFoam,0.00038000000000000013
0.0117086,0.3158591,0.3015362,0.2767465,interIsoFoam,0.00037910000000000027
0.0120871,0.3162785,0.3022025,0.2764604,interIsoFoam,0.00037850000000000036
0.0124651,0.3177918,0.3027535,0.2764378,interIsoFoam,0.00037799999999999986
0.0128427,0.3191672,0.3032063,0.2764411,interIsoFoam,0.0003776000000000005
0.0132198,0.3204194,0.3035483,0.2764589,interIsoFoam,0.0003771
0.0135965,0.3215735,0.3037628,0.2764868,interIsoFoam,0.0003766999999999989
0.013973,0.3226359,0.3037612,0.2765361,interIsoFoam,0.0003765000000000001
0.0143492,0.3236101,0.3035741,0.2765971,interIsoFoam,0.00037620000000000015
0.0147251,0.3245283,0.3032491,0.2766637,interIsoFoam,0.0003759000000000002
0.0151007,0.3253706,0.3028115,0.2767337,interIsoFoam,0.00037560000000000024
0.0154763,0.3261395,0.3022698,0.2768067,interIsoFoam,0.00037560000000000024
0.0158516,0.3268429,0.301637,0.2768823,interIsoFoam,0.0003753000000000003
0.0162266,0.3274706,0.3009292,0.2769371,interIsoFoam,0.00037500000000000033
0.0166016,0.3280396,0.3001611,0.2802495,interIsoFoam,0.00037500000000000033
0.0169766,0.3285616,0.2993394,0.283369,interIsoFoam,0.00037500000000000033
0.0173514,0.3290389,0.2984754,0.286143,interIsoFoam,0.00037479999999999805
0.0177261,0.329471,0.2975732,0.2885546,interIsoFoam,0.0003747000000000021
0.0181008,0.3298615,0.2966402,0.2906125,interIsoFoam,0.00037469999999999865
0.0184755,0.3302133,0.2956776,0.2923138,interIsoFoam,0.00037469999999999865
0.01885,0.3305329,0.2946936,0.2936952,interIsoFoam,0.00037449999999999983
0.0192244,0.3308237,0.2936932,0.2947391,interIsoFoam,0.0003744000000000004
0.0195988,0.3310787,0.2926785,0.2954753,interIsoFoam,0.0003744000000000004
0.0199733,0.3313031,0.2916508,0.2942042,interIsoFoam,0.00037449999999999983
0.0203477,0.3314994,0.2906163,0.2871842,interIsoFoam,0.0003744000000000004
0.0207221,0.3316863,0.2895637,0.2789266,interIsoFoam,0.0003744000000000004
0.0210966,0.3318479,0.2884992,0.2791375,interIsoFoam,0.00037449999999999983
